Keyword,Target URL,SEMrush Pos,Volume,KD,Intent,Priority,Optimized Element,Status
purple chevy emblem,/chevy-emblem,23,50,23,Commercial,Medium,H1 / FAQ / Answer Capsule / Fitment Table,TIER2_DONE
chevy emblem,/chevy-emblem,25,3600,24,Informational,High,H1 / FAQ / Answer Capsule / Fitment Table,TIER2_DONE
purple chevy symbol,/chevy-emblem,25,50,23,Informational,Medium,H1 / FAQ / Answer Capsule / Fitment Table,TIER2_DONE
car engraving,/services,26,110,28,Informational,Medium,H1 / Service Copy / LocalBusiness,TIER2_DONE
chevy truck emblems,/products?make=Chevrolet,29,170,17,Commercial,Medium,Category Meta / Intro Copy / H2,TIER2_DONE
chevy truck badges,/products?make=Chevrolet,29,110,12,Commercial,Medium,Category Meta / Intro Copy / H2,TIER2_DONE
chevy symbol,/chevy-emblem,31,3600,37,Informational,High,H1 / FAQ / Answer Capsule / Fitment Table,TIER2_DONE
chevrolet emblems for sale,/products?make=Chevrolet,31,70,28,Transactional,Medium,Category Meta / Intro Copy / H2,TIER2_DONE
chevy grille emblems,/chevy-emblem,32,260,27,Commercial,Medium,H1 / FAQ / Answer Capsule / Fitment Table,TIER2_DONE
chevrolet emblems,/chevy-emblem,33,320,26,Informational,High,H1 / FAQ / Answer Capsule / Fitment Table,TIER2_DONE
camo chevy emblem,/chevy-emblem,33,70,23,Commercial,Medium,H1 / FAQ / Answer Capsule / Fitment Table,TIER2_DONE
chevrolet badges,/chevy-emblem,33,50,25,Commercial,Medium,H1 / FAQ / Answer Capsule / Fitment Table,TIER2_DONE
chevrolet emblem,/chevy-emblem,35,2900,29,Informational,High,H1 / FAQ / Answer Capsule / Fitment Table,TIER2_DONE
emblems chevy,/products?make=Chevrolet,35,320,25,Commercial,High,Category Meta / Intro Copy / H2,TIER2_DONE
chevy decals emblems,/products?make=Chevrolet,36,140,22,Commercial,Low,Category Meta / Intro Copy / H2,TIER2_DONE
chevrolet truck emblems,/products?make=Chevrolet,40,140,16,Transactional,Low,Category Meta / Intro Copy / H2,TIER2_DONE
chevy silverado decals and emblems,/fitment,51,140,18,Commercial,Low,H1 / HowTo Schema / Dimension Table,CANONICAL_SET
black and white ford emblem,/products/black-ford-emblem,59,140,19,Transactional,Low,Product Title / Meta / SKU Block,TIER3_DONE
silverado emblem,/products/chevy-silverado-for-all-models-and-years-front-and-back,—,590,24,Commercial,High,Product Title / Meta / SKU Block,TIER3_DONE
chevy badge,/products/chevy-emblem-fully-engraved,—,320,20,Informational,High,Product Title / Meta / SKU Block,TIER3_DONE
custom chevy emblem,/products/chevy-emblem-fully-engraved,—,170,19,Commercial,Low,Product Title / Meta / SKU Block,TIER3_DONE
custom chevrolet emblems,/products/black-front-emblem-fully-engraved,—,140,14,Commercial,Low,Product Title / Meta / SKU Block,TIER3_DONE
chevy silverado emblem,/products/chevy-silverado-for-all-models-and-years-front-and-back,—,140,14,Commercial,Low,Product Title / Meta / SKU Block,TIER3_DONE
vortec max badge,/contact,—,110,5,Commercial,Low,Fitment custom-order note,CUSTOM_ORDER
high country badges,/products/gmc-engraved-front-emblem,—,110,8,Commercial,Low,Product Title / Meta / SKU Block,TIER3_DONE
engraved gmc emblem,/products/gmc-engraved-front-emblem,—,90,21,Commercial,Low,Product Title / Meta / SKU Block,TIER3_DONE
custom chevy bowtie emblems,/chevy-bowtie,—,90,18,Informational,Low,H1 / FAQ / Answer Capsule / Fitment Table,CANONICAL_SET
engraved chevy badge,/products/black-set-of-2-emblems-for-front-and-back,—,90,12,Commercial,Low,Product Title / Meta / SKU Block,TIER3_DONE
chevy badges and emblems,/products/set-front-and-back-chevy-fully-engraved,—,90,10,Commercial,Low,Product Title / Meta / SKU Block,TIER3_DONE
custom chevy bowtie,/chevy-bowtie,—,70,23,Commercial,Low,H1 / FAQ / Answer Capsule / Fitment Table,CANONICAL_SET
chevy emblems for sale,/products/set-front-and-back-chevy-fully-engraved,—,70,28,Transactional,Low,Product Title / Meta / SKU Block,TIER3_DONE
silverado ss emblems,/products/ss-badge-emblem-billet,—,70,16,Informational,Low,Product Title / Meta / SKU Block,TIER3_DONE
high country badge,/products/gmc-engraved-front-emblem,—,50,12,Commercial,Low,Product Title / Meta / SKU Block,TIER3_DONE
chevy custom bowtie,/chevy-bowtie,—,40,8,Informational,Low,H1 / FAQ / Answer Capsule / Fitment Table,CANONICAL_SET
