Prospect Domain,DR,Contact Name,Email,Outreach Date,Follow-up 1 Date,Follow-up 2 Date,Status,Link Acquired (Y/N),Link URL
hotcars.com,75,Content Lead,editor@hotcars.com,2026-05-13,2026-05-17,2026-05-21,In Progress,N,
motor1.com,87,News Desk,editorial@motor1.com,2026-05-14,2026-05-18,2026-05-22,Planned,N,
thedrive.com,82,Contributor Desk,pitches@thedrive.com,2026-05-14,2026-05-18,2026-05-22,Planned,N,
bangshift.com,60,Editor,editor@bangshift.com,2026-05-14,2026-05-18,2026-05-22,Planned,N,
truckyeah.jalopnik.com,70,Auto Editor,tips@jalopnik.com,2026-05-14,2026-05-18,2026-05-22,Planned,N,
offroad.com,65,Content Manager,editor@offroad.com,2026-05-15,2026-05-19,2026-05-23,Planned,N,
expeditionportal.com,73,Community Editor,editor@expeditionportal.com,2026-05-15,2026-05-19,2026-05-23,Planned,N,
overlandjournal.com,76,Managing Editor,editorial@overlandjournal.com,2026-05-15,2026-05-19,2026-05-23,Planned,N,
truckinsiders.com,49,Site Editor,editor@truckinsiders.com,2026-05-16,2026-05-20,2026-05-24,Planned,N,
dieselworldmag.com,63,Features Editor,features@dieselworldmag.com,2026-05-16,2026-05-20,2026-05-24,Planned,N,
performanceonline.com,55,Content Desk,media@performanceonline.com,2026-05-16,2026-05-20,2026-05-24,Planned,N,
speednik.com,66,Editor,editor@speednik.com,2026-05-16,2026-05-20,2026-05-24,Planned,N,
lsxmag.com,62,Editorial Team,pitches@lsxmag.com,2026-05-17,2026-05-21,2026-05-25,Planned,N,
mustang6g.com,54,Community Admin,admin@mustang6g.com,2026-05-17,2026-05-21,2026-05-25,Planned,N,
f150gen14.com,51,Forum Admin,admin@f150gen14.com,2026-05-17,2026-05-21,2026-05-25,Planned,N,
ramforum.com,50,Moderator Team,staff@ramforum.com,2026-05-17,2026-05-21,2026-05-25,Planned,N,
gminsidenews.com,56,Editor,editor@gminsidenews.com,2026-05-18,2026-05-22,2026-05-26,Planned,N,
chevyhardcore.com,58,Content Lead,editor@chevyhardcore.com,2026-05-18,2026-05-22,2026-05-26,Planned,N,
fordauthority.com,68,Editorial Desk,tips@fordauthority.com,2026-05-18,2026-05-22,2026-05-26,Planned,N,
gmauthority.com,71,Editor,editor@gmauthority.com,2026-05-18,2026-05-22,2026-05-26,Planned,N,
pickuptrucks.com,77,Contributor Desk,pitches@pickuptrucks.com,2026-05-19,2026-05-23,2026-05-27,Planned,N,
theautopian.com,72,Staff Writer,editor@theautopian.com,2026-05-19,2026-05-23,2026-05-27,Planned,N,
autoweek.com,86,Features Editor,pitches@autoweek.com,2026-05-19,2026-05-23,2026-05-27,Planned,N,
duPontRegistry.com,74,Content Partnerships,media@dupontregistry.com,2026-05-19,2026-05-23,2026-05-27,Planned,N,
partcatalog.com,53,Content Team,content@partcatalog.com,2026-05-20,2026-05-24,2026-05-28,Planned,N,
realtruck.com,70,Media Relations,media@realtruck.com,2026-05-20,2026-05-24,2026-05-28,Planned,N,
americantrucks.com,69,Editorial Team,media@americantrucks.com,2026-05-20,2026-05-24,2026-05-28,Planned,N,
summitracing.com,85,Editorial Desk,news@summitracing.com,2026-05-20,2026-05-24,2026-05-28,Planned,N,
jegs.com,82,Content Desk,media@jegs.com,2026-05-21,2026-05-25,2026-05-29,Planned,N,
autoguide.com,79,Editor,editor@autoguide.com,2026-05-21,2026-05-25,2026-05-29,Planned,N,
motorbiscuit.com,76,Content Lead,editor@motorbiscuit.com,2026-05-21,2026-05-25,2026-05-29,Planned,N,
carthrottle.com,80,Features Desk,pitches@carthrottle.com,2026-05-21,2026-05-25,2026-05-29,Planned,N,
torquenews.com,67,News Editor,news@torquenews.com,2026-05-22,2026-05-26,2026-05-30,Planned,N,
truckpartsandaccessories.com,48,Site Manager,editor@truckpartsandaccessories.com,2026-05-22,2026-05-26,2026-05-30,Planned,N,
