Domain,In Competitor A,In Competitor B,Category,Priority Signal
tinybeans.com,N,Y,General web,Single-source competitor signal
tn.gov,N,Y,Authority/Institutional,Single-source competitor signal
topflightautomotive.com,N,Y,General web,Single-source competitor signal
uab.edu,Y,N,Authority/Institutional,Single-source competitor signal
usmagazine.com,N,Y,General web,Single-source competitor signal
uspbl.com,N,Y,General web,Single-source competitor signal
violationfunding.com,Y,N,General web,Single-source competitor signal
vms.autorevo.com,N,Y,General web,Single-source competitor signal
washingtonpost.com,N,Y,General web,Single-source competitor signal
wearethemighty.com,N,Y,General web,Single-source competitor signal
weboworld.com,Y,N,General web,Single-source competitor signal
wikihow.com,N,Y,General web,Single-source competitor signal
wordstream.com,N,Y,General web,Single-source competitor signal
world-business-zone.com,Y,N,General web,Single-source competitor signal
zeiglerchevroletschaumburg.com,N,Y,Automotive media/brand,Single-source competitor signal
